<class 'datetime.datetime'>) 9위 한울타리-그대는 나의 인생에서 가사 파싱 실패(성인인증 필요, 또는  없음)
<class 'datetime.datetime'>) 15위 최백호-고독에서 가사 파싱 실패(성인인증 필요, 또는  없음)
<class 'datetime.datetime'>) 26위 혜은이-작은 숙녀에서 가사 파싱 실패(성인인증 필요, 또는  없음)
<class 'datetime.datetime'>) 30위 채은옥-지울수 없는 얼굴에서 가사 파싱 실패(성인인증 필요, 또는  없음)
<class 'datetime.datetime'>) 14위 한울타리-그대는 나의 인생에서 가사 파싱 실패(성인인증 필요, 또는  없음)
<class 'datetime.datetime'>) 18위 이동기-바보 바보에서 가사 파싱 실패(성인인증 필요, 또는  없음)
<class 'datetime.datetime'>) 27위 최백호-고독에서 가사 파싱 실패(성인인증 필요, 또는  없음)
<class 'datetime.datetime'>) 8위 이동기-바보 바보에서 가사 파싱 실패(성인인증 필요, 또는  없음)
<class 'datetime.datetime'>) 26위 한울타리-그대는 나의 인생에서 가사 파싱 실패(성인인증 필요, 또는  없음)
<class 'datetime.datetime'>) 2위 이동기-바보 바보에서 가사 파싱 실패(성인인증 필요, 또는  없음)
<class 'datetime.datetime'>) 19위 윤복희-왜 돌아보오에서 가사 파싱 실패(성인인증 필요, 또는  없음)
<class 'datetime.datetime'>) 4위 이동기-바보 바보에서 가사 파싱 실패(성인인증 필요, 또는  없음)
<class 'datetime.datetime'>) 8위 윤복희-왜 돌아보오에서 가사 파싱 실패(성인인증 필요, 또는  없음)
<class 'datetime.datetime'>) 10위 이동기-바보 바보에서 가사 파싱 실패(성인인증 필요, 또는  없음)
<class 'datetime.datetime'>) 12위 윤복희-왜 돌아보오에서 가사 파싱 실패(성인인증 필요, 또는  없음)
<class 'datetime.datetime'>) 25위 이미배-당신은 안개였나요에서 가사 파싱 실패(성인인증 필요, 또는  없음)
<class 'datetime.datetime'>) 18위 이미배-당신은 안개였나요에서 가사 파싱 실패(성인인증 필요, 또는  없음)
<class 'datetime.datetime'>) 21위 이동기-바보 바보에서 가사 파싱 실패(성인인증 필요, 또는  없음)
<class 'datetime.datetime'>) 23위 윤복희-왜 돌아보오에서 가사 파싱 실패(성인인증 필요, 또는  없음)
